id,alcohol,alcohol_bands,category,country,description,designation,price,price_bands,rating,rating_bands,region,subregion,subsubregion,title,url,varietal,vintage,winery,quantity
1884,13.0,Medium,Red,Argentina,"Leafy berry aromas include notes of iodine and dried blood. A severely dry and clamping palate is light in weight but rough, while a toasty earthy flavor profile is low on fruit. A finish with rubbery tannins and leafy flavors of tomato and spice is dry and scouring.",Joven,18,Budget Option,85,Mediocre,Other,Patagonia,,Marcelo Mira 2016 Joven Pinot Noir (Patagonia),https://www.winemag.com/buying-guide/marcelo-mira-2016-joven-pinot-noir-patagonia/,Pinot Noir,2016,Marcelo Mira,1
2919,13.0,Medium,Red,Argentina,"Gritty aromas of red fruits and spicy oak are a touch stalky at first but come around with airing. A fresh, healthy palate is slightly pulling and raw, but not coarse. Red plum, currant and tomato flavors finish with modest oak and length.",,22,Reasonable,89,Mediocre,Mendoza Province,Maipe,,Luigi Bosca 2016 Pinot Noir (Maipe),https://www.winemag.com/buying-guide/luigi-bosca-2016-pinot-noir-maipu/,Pinot Noir,2016,Luigi Bosca,1
1858,13.1,Medium,Red,Argentina,"Light generic red-berry aromas include a hint of sandalwood. While this is fresh and easy on the palate, it's also thin much like tea. Leafy plum and currant flavors include a touch of licorice, while this ends with a note of cocoa on a finish with residual tangy acidity.",Private Selection,15,Budget Option,84,Mediocre,Mendoza Province,Mendoza,,Familia Colombi 2015 Private Selection Pinot Noir (Mendoza),https://www.winemag.com/buying-guide/familia-colombi-2015-private-selection-pinot-noir-mendoza/,Pinot Noir,2015,Familia Colombi,1
1968,13.4,Medium,Red,Argentina,"Mint and grass aromas blend into blackberry scents. This feels lean, dry and grabby. Sappy flavors of red plum and tomato are more raw than full, while this is fittingly dry and short on a finish with woody notes.",Reserve,20,Budget Option,86,Mediocre,Mendoza Province,Mendoza,,Proemio 2015 Reserve Petit Verdot (Mendoza),https://www.winemag.com/buying-guide/proemio-2015-reserve-petit-verdot-mendoza/,Petit Verdot,2015,Proemio,1
1816,13.5,Medium-High,Red,Argentina,"A mostly neutral nose includes a hint of soupy berry fruit. A sticky palate is gummed up by heavy residual sugar, while this tastes like cherry candy without acidity.",Balcon de los Andes Sweet,12,Budget Option,82,Mediocre,Mendoza Province,Mendoza,,Dos Familias 2017 Balcon de los Andes Sweet Red (Mendoza),https://www.winemag.com/buying-guide/dos-familias-2017-balcon-de-los-andes-sweet-red-mendoza/,Red Blend,2017,Dos Familias,1
1835,13.5,Medium-High,Red,Argentina,Gritty roasted red-fruit aromas set up a thin choppy palate emboldened by citric acidity. Weedy foxy raspberry and plum flavors finish with high acidity and not much body.,Made With Organic Grapes,10,Cheap,82,Mediocre,Mendoza Province,Mendoza,,Pindal 2017 Made With Organic Grapes Red (Mendoza),https://www.winemag.com/buying-guide/pindal-2017-made-with-organic-grapes-red-mendoza/,Red Blend,2017,Pindal,1
1847,13.5,Medium-High,Red,Argentina,"Foxy berry aromas are candied, jumpy and not serious. This blend of Malbec and Cab Franc is edgy on the palate, with questionable structure. Herbal, sappy and saucy flavors finish without much to savor.",Reserva Mountain Blend,13,Budget Option,83,Mediocre,Mendoza Province,Valle de Uco,,Santa Julia 2017 Reserva Mountain Blend Malbec-Cabernet Franc (Valle de Uco),https://www.winemag.com/buying-guide/santa-julia-2017-reserva-mountain-blend-malbec-cabernet-franc-valle-de-uco/,Malbec-Cabernet Franc,2017,Santa Julia,1
2464,13.5,Medium-High,Red,Argentina,"Grapy blackberry and black plum aromas come with oak spice on the side. While this is more lazy and horizontal in feel than upright, the palate is packed with fruit flavors, blackberry and cassis in particular. Chocolate and toast notes grace a satisfying finish. Fans of Argentinean wines seeking something other than Malbec will be well served by this.",Armando,15,Budget Option,90,Pretty Good,Mendoza Province,Mendoza,,La Posta 2017 Armando Bonarda (Mendoza),https://www.winemag.com/buying-guide/la-posta-2017-armando-bonarda-mendoza/,Bonarda,2017,La Posta,1
2977,13.5,Medium-High,White,Argentina,"Apple and fresh pumpkin aromas announce a round, healthy palate with bracing acidity. Dried tropical fruit flavors of mango, papaya and pineapple are clean and solid. Everything about this partially malolactic Chardonnay is pleasing and of good quality. Drink now.",Unanime,20,Budget Option,89,Mediocre,Mendoza Province,Mendoza,,Mascota 2017 Unanime Chardonnay (Mendoza),https://www.winemag.com/buying-guide/mascota-2017-unanime-chardonnay-mendoza/,Chardonnay,2017,Mascota,1
3139,13.5,Medium-High,White,Argentina,"Resiny oak is the chief aroma, while vanilla completes the aromatic picture. As in previous years, a heavy application of oak and fairly low acidity combine to create a weighty, flat-planed Chardonnay. Wood resin, vanilla and coconut flavors are more prominent than fruit, while this is soft on the finish. Drink now.",,28,Reasonable,88,Mediocre,Mendoza Province,Mendoza,,El Enemigo 2017 Chardonnay (Mendoza),https://www.winemag.com/buying-guide/el-enemigo-2017-chardonnay-mendoza/,Chardonnay,2017,El Enemigo,1
3238,13.5,Medium-High,Red,Argentina,"Opaque in color and full of plum, cassis and blackberry aromas, this is a very good Bonarda. A full palate shows plenty of grape, blackberry and cassis flavors. For a ripe, everyday red wine for pizza, burgers or flank steak, pour this with gusto.",,12,Budget Option,88,Mediocre,Mendoza Province,Mendoza,,Argento 2017 Bonarda (Mendoza),https://www.winemag.com/buying-guide/argento-2017-bonarda-mendoza/,Bonarda,2017,Argento,1
3261,13.5,Medium-High,Red,Argentina,"Savory aromas of currant and red plum are smoky and roasted. This is a punchy, medium-bodied PN with fresh acidity. Red currant and cherry pie lavors come with spicy oak notes, while this is direct on a snappy finish.",Glorieta,18,Budget Option,88,Mediocre,Mendoza Province,Mendoza,,La Posta 2017 Glorieta Pinot Noir (Mendoza),https://www.winemag.com/buying-guide/la-posta-2017-glorieta-pinot-noir-mendoza/,Pinot Noir,2017,La Posta,1
1245,13.5,Medium-High,Red,Argentina,"Plum and dark-berry aromas are slightly minty and mildly green. A dry edgy palate qualifies as fresh, while this tastes largely of fresh plum and black currant along with a hint of toasty oak. A high-energy finish is snappy and fresh, much like the rest of this cool-vintage Cabernet.",Gran Reserva Vista Flores Single Vineyard,23,Reasonable,89,Mediocre,Mendoza Province,Uco Valley,,Finca El Origen 2016 Gran Reserva Vista Flores Single Vineyard Cabernet Sauvignon (Uco Valley),https://www.winemag.com/buying-guide/finca-el-origen-2016-gran-reserva-vista-flores-single-vineyard-cabernet-sauvignon-uco-valley/,Cabernet Sauvignon,2016,Finca El Origen,1
1740,13.5,Medium-High,Red,Argentina,"Foxy berry and plum aromas rattle around before settling on scented hand soap. A tight palate owes its feel to grape skins, while staunch acidity sticks out. Said acidity makes for narrow plum flavors and a drawing finish with controlled tartness.",Estate,20,Budget Option,87,Mediocre,Mendoza Province,Mendoza,,Alta Vista 2016 Estate Cabernet Sauvignon (Mendoza),https://www.winemag.com/buying-guide/alta-vista-2016-estate-cabernet-sauvignon-mendoza/,Cabernet Sauvignon,2016,Alta Vista,1
1779,13.5,Medium-High,Red,Argentina,"A big oaky nose smells of animal and Brett as well as blueberry and blackberry. This Cabernet is chunky and full but not all that structured. Savory gamy berry flavors finish with touches of mint, earth and leather.",Reserva Single Vineyard,18,Budget Option,87,Mediocre,Mendoza Province,Mendoza,,Proemio 2016 Reserva Single Vineyard Cabernet Sauvignon (Mendoza),https://www.winemag.com/buying-guide/proemio-2016-reserva-single-vineyard-cabernet-sauvignon-mendoza/,Cabernet Sauvignon,2016,Proemio,1
1867,13.5,Medium-High,White,Argentina,"Mildly oxidized, oily aromas are low on fruit and play up haystack and stalky notes. This unusual organic-grape blend is Sauvignon Blanc, Viognier and Chardonnay, and it's yellowish in color as well as full and almost creamy on the palate. Dry apple flavors turn bitter on a flat finish.",Inkarri Made With Organic Grapes Estate Bottled,14,Budget Option,84,Mediocre,Mendoza Province,Mendoza,,Chakana 2016 Inkarri Made With Organic Grapes Estate Bottled White (Mendoza),https://www.winemag.com/buying-guide/chakana-2016-inkarri-made-with-organic-grapes-estate-bottled-white-mendoza/,White Blend,2016,Chakana,1
1869,13.5,Medium-High,Red,Argentina,"A cloudy tint and gritty pulling aromas of underripe berry fruits make for a challenging start. Raw and scrubbing tannins frame slightly green berry flavors, while this is dry and scratchy on the finish.",La Vida d'Argentine Gran Reserve,19,Budget Option,84,Mediocre,Mendoza Province,Mendoza,,Mendoza Vineyards 2016 La Vida d'Argentine Gran Reserve Cabernet Sauvignon (Mendoza),https://www.winemag.com/buying-guide/mendoza-vineyards-2016-la-vida-dargentine-gran-reserve-cabernet-sauvignon-mendoza/,Cabernet Sauvignon,2016,Mendoza Vineyards,1
2267,13.5,Medium-High,Red,Argentina,"Ripe black fruit aromas come with hints of prune and fig. A lush but sturdy palate is well balanced, with soft but present tannins. Earthy, salty plum and wild berry flavors are deep and satisfying, while this Bonarda is toasty, firm and fairly long on the finish.",La Esperanza Single Vineyard,24,Reasonable,92,Pretty Good,Mendoza Province,Mendoza,,El Enemigo 2016 La Esperanza Single Vineyard Bonarda (Mendoza),https://www.winemag.com/buying-guide/el-enemigo-2016-la-esperanza-single-vineyard-bonarda-mendoza/,Bonarda,2016,El Enemigo,1
2297,13.5,Medium-High,Red,Argentina,"Clean black fruit aromas are pure and flush. In the mouth, this Bonarda feels bouncy and fresh, with good build and structure. Dark plum and blackberry flavors are tasty despite not showing much nuance or complexity, while this is steady, clean and smooth on the finish.",El Barranco Single Vineyard,24,Reasonable,91,Pretty Good,Mendoza Province,Mendoza,,El Enemigo 2016 El Barranco Single Vineyard Bonarda (Mendoza),https://www.winemag.com/buying-guide/el-enemigo-2016-el-barranco-single-vineyard-bonarda-mendoza/,Bonarda,2016,El Enemigo,1
2689,13.5,Medium-High,Red,Argentina,"Spicy oak, floral notes and incense aromas are more profound than any particular fruit scent. This is a full and grabby Pinot with some aggressiveness. Oaky plum, currant and baking spice flavors are carried over to the finish.",G Lot,35,Reasonable,90,Pretty Good,Mendoza Province,Tupungato,,Luca 2016 G Lot Pinot Noir (Tupungato),https://www.winemag.com/buying-guide/luca-2016-g-lot-pinot-noir-tupungato/,Pinot Noir,2016,Luca,1
2733,13.5,Medium-High,Red,Argentina,"Raspberry and plum aromas are fruity, slightly jammy and a touch medicinal. On the palate, this is tight but with fleshy depth. Plum, wild berry and baking spice flavors finish firm and bright, with a healthy kick. Given that 2016 was a difficult vintage for red wines in Mendoza, this qualifies as a success.",Reserve,19,Budget Option,90,Pretty Good,Mendoza Province,Valle de Uco,,Salentein 2016 Reserve Cabernet Sauvignon (Valle de Uco),https://www.winemag.com/buying-guide/salentein-2016-reserve-cabernet-sauvignon-valle-de-uco/,Cabernet Sauvignon,2016,Salentein,1
2813,13.5,Medium-High,Red,Argentina,"Ripe berry aromas include desiccated notes of raisin and prune, but even so this Bonarda doesn't smell cooked or overripe. A plump body is friendly and smooth, while oaky berry flavors are pleasing even if they lack intensity and length on the finish.",Los Paraisos Single Vineyard,24,Reasonable,90,Pretty Good,Mendoza Province,Mendoza,,El Enemigo 2016 Los Paraisos Single Vineyard Bonarda (Mendoza),https://www.winemag.com/buying-guide/el-enemigo-2016-los-paraisos-single-vineyard-bonarda-mendoza/,Bonarda,2016,El Enemigo,1
2866,13.5,Medium-High,Red,Argentina,"Saucy plum aromas are lightly herbal and suggest paprika or Spanish pimenton. A plump, grabby palate is tannic but not rough. Gamy dark fruit flavors display grip across a structured, fresh finish, and overall this racy CF is a big success given the rainy El Nino conditions of 2016.",Pioneer,15,Budget Option,90,Pretty Good,Mendoza Province,Uco Valley,,Finca la Celia 2016 Pioneer Cabernet Franc (Uco Valley),https://www.winemag.com/buying-guide/finca-la-celia-2016-pioneer-cabernet-franc-uco-valley/,Cabernet Franc,2016,Finca la Celia,1
2947,13.5,Medium-High,Red,Argentina,"Smoky, charred aromas sit atop meaty, savory berry scents. Structurally speaking, this Cab Franc from a rain-plagued vintage is edgy and a bit lacking in the midpalate. Oak flavors combined with saucy berry and plum notes end with dry tannins and snap.",,28,Reasonable,89,Mediocre,Mendoza Province,Mendoza,,El Enemigo 2016 Cabernet Franc (Mendoza),https://www.winemag.com/buying-guide/el-enemigo-2016-cabernet-franc-mendoza/,Cabernet Franc,2016,El Enemigo,1
3078,13.5,Medium-High,Red,Argentina,"Stewed berry aromas are oaky and a bit murky. On the palate, this is chunky and wide, with tannic rub. Roasted berry flavors come with a whole lot of oak, which means the finish tastes pasty, creamy and chocolaty, with herbal plum as the lasting fruit flavor.",,28,Reasonable,88,Mediocre,Mendoza Province,Mendoza,,El Enemigo 2016 Bonarda (Mendoza),https://www.winemag.com/buying-guide/el-enemigo-2016-bonarda-mendoza/,Bonarda,2016,El Enemigo,1
3204,13.5,Medium-High,Red,Argentina,"Creamy oak creates vanilla-like aromas to go with plum and berry scents. This Bonarda is raw and pulling in feel, with severely dry tannins. Blackberry and oak comprise a limited flavor profile, while this tastes mostly of oak and wood grain on a grabby finish.",El Mirador Single Vineyard,24,Reasonable,88,Mediocre,Mendoza Province,Mendoza,,El Enemigo 2016 El Mirador Single Vineyard Bonarda (Mendoza),https://www.winemag.com/buying-guide/el-enemigo-2016-el-mirador-single-vineyard-bonarda-mendoza/,Bonarda,2016,El Enemigo,1
3234,13.5,Medium-High,Red,Argentina,"Rubbery berry fruit aromas are a bit pinched and narrow. In the mouth, this is chewy and dense, with tomatoey acidity. Savory, lightly herbal plum, spice and tomato flavors finish with snap.",Estate Selection,27,Reasonable,88,Mediocre,Mendoza Province,Mendoza,,Chakana 2016 Estate Selection Cabernet Sauvignon (Mendoza),https://www.winemag.com/buying-guide/chakana-2016-estate-selection-cabernet-sauvignon-mendoza/,Cabernet Sauvignon,2016,Chakana,1
730,13.5,Medium-High,Red,Argentina,"Cherry-cough-drop, cassis and licorice aromas are bright and right, while the nose of this 90% Cab Franc (with 10% Malbec) isn't over the top. A full palate, like the nose, doesn't bulldoze, while this tastes of well-oaked berry fruits and chocolate. With a good piece of meat, this will do you right. Drink through 2026.",Gala 4,38,Reasonable,93,Very Good,Mendoza Province,Mendoza,,Luigi Bosca 2015 Gala 4 Cabernet Franc-Malbec (Mendoza),https://www.winemag.com/buying-guide/luigi-bosca-2015-gala-4-cabernet-franc-malbec-mendoza/,Cabernet Franc-Malbec,2015,Luigi Bosca,1
1264,13.5,Medium-High,Red,Argentina,"Stalky berry and plum aromas come with a rugged scent of burning brush prior to a palate that's sinewy and acidic more than filled out and fruity. Leafy herbal flavors of red plum and red currant are fresh, racy and taut on a reserved finish. At only 13.5% ABV, this is a much lighter version of Alta than in the past.",Alta Historic Rows,55,Upper-Medium,89,Mediocre,Mendoza Province,Mendoza,,Bodega Catena Zapata 2015 Alta Historic Rows Cabernet Sauvignon (Mendoza),https://www.winemag.com/buying-guide/bodega-catena-zapata-2015-alta-historic-rows-cabernet-sauvignon-mendoza/,Cabernet Sauvignon,2015,Bodega Catena Zapata,1
2500,13.5,Medium-High,Red,Argentina,"Woodsy aromas of black fruit and gingerbread create a friendly nose that lacks exactness. This is bulky on the palate, with dense berry flavors that are foresty, minty and oaky. Spice and chocolate mint flavors blend with lightly herbal berry notes on the finish.",Alta Historic Rows,60,Upper-Medium,90,Pretty Good,Mendoza Province,Mendoza,,Bodega Catena Zapata 2015 Alta Historic Rows Malbec (Mendoza),https://www.winemag.com/buying-guide/bodega-catena-zapata-2015-alta-historic-rows-malbec-mendoza/,Malbec,2015,Bodega Catena Zapata,1
343,13.5,Medium-High,Red,Argentina,"Smooth aromas of berry fruits, fig, tobacco and chocolate signal a well-oaked blend of 75% Cabernet Sauvignon and 25% Malbec. This signature wine for Catena is powerful and lusty on the palate, with flavors of toasty oak, fig, blackberry and spice all rolled into a fine whole. Long and toasty on the finish, this should be at its peak in a couple of years. Drink through 2026.",Nicolas Catena Zapata,125,Expensive,93,Very Good,Mendoza Province,Mendoza,,Bodega Catena Zapata 2014 Nicolas Catena Zapata Red (Mendoza),https://www.winemag.com/buying-guide/bodega-catena-zapata-2014-nicolas-catena-zapata-red-mendoza/,Bordeaux-style Red Blend,2014,Bodega Catena Zapata,1
2651,13.6,Medium-High,Red,Argentina,"Chocolaty blackberry aromas are at the center of a deep nose that's also creamy from lactic oak. Juicy acidity bolsters the palate, which is full and balanced. Black plum and blackberry flavors include a smear of chocolate and mild herbal notes, while this Malbec is chewy and chocolaty on the finish. Drink through 2024.",HD Reserva,35,Reasonable,91,Pretty Good,Mendoza Province,Mendoza,,Durigutti 2015 HD Reserva Malbec (Mendoza),https://www.winemag.com/buying-guide/durigutti-2015-hd-reserva-malbec-mendoza/,Malbec,2015,Durigutti,1
1868,13.8,Medium-High,Red,Argentina,"Roasted berry aromas are rubbery, herbal and slightly weedy. This feels chunky and heavy, with flavors of stewed berry fruits, forced oak and clove. Creamy weight, rubbery tannins and a note of caramel complete the finish on this basic red blend.",Signature Sustainably Farmed Estate Grown and Bottled,10,Cheap,84,Mediocre,Mendoza Province,Mendoza,,Zolo 2017 Signature Sustainably Farmed Estate Grown and Bottled Red (Mendoza),https://www.winemag.com/buying-guide/zolo-2017-signature-sustainably-farmed-estate-grown-and-bottled-red-mendoza/,Red Blend,2017,Zolo,1
2491,13.8,Medium-High,Red,Argentina,"Plum and cassis aromas are not overwhelming or oaky, and instead are more elegant and fresh. This Cabernet feels firm and pulling, with rubbery tannins. Flavors of berry fruits and chocolaty oak finish dry, with an emphasis on peppery spice.",Pukara Single Vineyard,30,Reasonable,90,Pretty Good,Mendoza Province,Vista Flores,,Antucura 2015 Pukara Single Vineyard Cabernet Sauvignon (Vista Flores),https://www.winemag.com/buying-guide/antucura-2015-pukara-single-vineyard-cabernet-sauvignon-vista-flores/,Cabernet Sauvignon,2015,Antucura,1
1013,13.9,Medium-High,Red,Argentina,"This Tannat from Salta smells a touch mulchy and meaty, which is normal for the variety and region. A full fleshy palate offers soft tannins and little resistance. Toasty blackberry and cassis flavors wrap up on a finish with dense tannins and some excess weight and heat. For an authentic taste of Tannat, this is where to go.",Don David Reserve,17,Budget Option,90,Pretty Good,Other,Calchaqui Valley,,El Esteco 2016 Don David Reserve Tannat (Calchaqui Valley),https://www.winemag.com/buying-guide/el-esteco-2016-don-david-reserve-tannat-calchaqui-valley/,Tannat,2016,El Esteco,1
1856,13.9,Medium-High,Red,Argentina,"Soapy grapey aromas fail to round into anything more specific or elevated. On the palate, this is clampy and rubbery, without much give. Flavors of grapey-berry fruits and rhubarb veer towards green, while rough tannins on the finish are grabby.",Roca Lisa,25,Reasonable,84,Mediocre,Mendoza Province,Mendoza,,Pena Viva 2016 Roca Lisa Cabernet Sauvignon (Mendoza),https://www.winemag.com/buying-guide/pena-viva-2016-roca-lisa-cabernet-sauvignon-mendoza/,Cabernet Sauvignon,2016,Pena Viva,1
835,13.9,Medium-High,Red,Argentina,"Rubbery berry aromas are gamy and suggest tar and asphalt. A full and saturated palate fits the Enemigo mode, while pulling tannins push down the palate feel. Charred flavors of dark fruits become more peppery and wood spicy on the finish.",Gran Enemigo Agrelo Single Vineyard,120,Expensive,91,Pretty Good,Mendoza Province,Mendoza,,El Enemigo 2015 Gran Enemigo Agrelo Single Vineyard Cabernet Franc (Mendoza),https://www.winemag.com/buying-guide/el-enemigo-2015-gran-enemigo-agrelo-single-vineyard-cabernet-franc-mendoza/,Cabernet Franc,2015,El Enemigo,1
911,13.9,Medium-High,Red,Argentina,"Earthy roasted berry aromas are smoky and derived from copious oak, which also provides notes of tobacco, cedar and vanilla. A full and layered palate offers flavors of earthy plum along with wood-based vanilla and tobacco. Pepper, marzipan and vanilla flavors lead a finish with reasonable complexity. Drink through 2022.",Gran Enemigo El Cepillo Single Vineyard,120,Expensive,90,Pretty Good,Mendoza Province,Mendoza,,El Enemigo 2015 Gran Enemigo El Cepillo Single Vineyard Cabernet Franc (Mendoza),https://www.winemag.com/buying-guide/el-enemigo-2015-gran-enemigo-el-cepillo-single-vineyard-cabernet-franc-mendoza/,Cabernet Franc,2015,El Enemigo,1
959,13.9,Medium-High,Red,Argentina,"This is another in the Enemigo single-vineyard series of Cabernet Francs, and it's big up-front, with smoky black-fruit aromas that are gamy and smell like a desert fire. A wiry palate is more clampy than other wines in the line, while this tastes of plum skins and feels raw and rubbery on a drawing finish.",Gran Enemigo Chacayes Single Vineyard,120,Expensive,90,Pretty Good,Mendoza Province,Mendoza,,El Enemigo 2015 Gran Enemigo Chacayes Single Vineyard Cabernet Franc (Mendoza),https://www.winemag.com/buying-guide/el-enemigo-2015-gran-enemigo-chacayes-single-vineyard-cabernet-franc-mendoza/,Cabernet Franc,2015,El Enemigo,1
2439,13.9,Medium-High,Red,Argentina,"A full, lusty blend of dark berry aromas mixed with tomatoey notes and herbs leads to a strong-boned palate with snappy acidity, freshness and depth. Heavy oak has mostly been absorbed, allowing for plum, raspberry, tomato and herbal flavors to express themselves. This is a ripe, meaty New World Cab Franc that fits right into the Enemigo mold; drink through 2024.",Gran Enemigo Gualtallary Single Vineyard,120,Expensive,92,Pretty Good,Mendoza Province,Mendoza,,El Enemigo 2015 Gran Enemigo Gualtallary Single Vineyard Cabernet Franc (Mendoza),https://www.winemag.com/buying-guide/el-enemigo-2015-gran-enemigo-gualtallary-single-vineyard-cabernet-franc-mendoza/,Cabernet Franc,2015,El Enemigo,1
2721,13.9,Medium-High,Red,Argentina,"Aromas of tree bark, cola and chocolate hide the fact that the fruit here isn't distinguished. A high-acid palate lends flash to gamy berry and red fruit flavors, but also a screechy sensation. A salty finish is once again gamy in flavor, but also seemingly pumped up by acidity that doesn't come naturally.",Gran Enemigo,90,Upper-Medium,89,Mediocre,Mendoza Province,Mendoza,,El Enemigo 2015 Gran Enemigo Red (Mendoza),https://www.winemag.com/buying-guide/el-enemigo-2015-gran-enemigo-red-mendoza/,Bordeaux-style Red Blend,2015,El Enemigo,1
1151,13.9,Medium-High,Red,Argentina,"Tobacco and mocha aromas help soften lemony high-toned notes on the nose. A grabby palate shows acidic pinch, while berry flavors are peppery, chocolaty and display caramel and coffee from oak. A drawing but tasty finish says this will last through at least 2022.",Carrascal,19,Budget Option,89,Mediocre,Mendoza Province,Lujan de Cuyo,,Weinert 2013 Carrascal Cabernet Sauvignon (Lujan de Cuyo),https://www.winemag.com/buying-guide/weinert-2013-carrascal-cabernet-sauvignon-lujan-de-cuyo/,Cabernet Sauvignon,2013,Weinert,1
1025,14.0,Medium-High,Red,Argentina,"A saturated purple color and dusty but concentrated blackberry and cassis aromas set up a lush palate that's stacked with fruit. Plum and berry flavors are big and fruity, while this blend of Malbec and Syrah with a touch of Cabernet is steady and smooth on a plump dark-fruit finish.",Gaia Made With Organic Grapes,20,Budget Option,90,Pretty Good,Mendoza Province,Tupungato,,Domaine Bousquet 2017 Gaia Made With Organic Grapes Red (Tupungato),https://www.winemag.com/buying-guide/domaine-bousquet-2017-gaia-made-with-organic-grapes-red-tupungato/,Red Blend,2017,Domaine Bousquet,1
